term_str,n,p,i,n_chars,h,max_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,dfidf
but,5557,0.0081135932252883,6.945443309770094,3,0.056352501784775,CC,{'CC'},1,but,but,but,1.4387460515330017
are,5482,0.0080040881880566,6.965047221894808,3,0.055748852198025,VBP,{'VBP'},1,are,are,ar,9.90320665782716
they,5003,0.0073047160169367,7.09695609772788,4,0.0518412488785699,PRP,{'PRP'},1,they,they,they,22.043256150268387
their,4259,0.0062184260475981,7.329234820170245,5,0.0455763047147102,PRP$,{'PRP$'},1,their,their,their,23.349627551561525
have,4230,0.0061760840998685,7.339091886713271,4,0.0453268487090044,VBP,"{'VBP', 'NN', 'JJ', 'VB'}",1,have,have,hav,9.90320665782716
he,4141,0.0060461381223536,7.369770347350704,2,0.0445586494501084,PRP,{'PRP'},1,he,he,he,33.48321623689644
them,4019,0.0058680099284567,7.412912972661838,4,0.0434990469223652,PRP,{'PRP'},1,them,them,them,14.025388641986003
his,3936,0.0057468243539202,7.443019329381342,3,0.042773724748788,PRP$,{'PRP$'},1,hi,his,his,29.75005658727751
all,3753,0.0054796320630749,7.511705259833606,3,0.0411613809901526,DT,"{'RB', 'PDT', 'VB', 'VBP', 'DT'}",1,all,all,al,4.292413551786179
this,3614,0.0052766827274054,7.566153043855983,4,0.0399241890794211,DT,{'DT'},1,thi,this,thi,7.114020502540746
we,3597,0.0052518615856329,7.572955390585203,2,0.0397721135055263,PRP,{'PRP'},1,we,we,we,24.64730796630741
from,3521,0.0051408964812381,7.603764322857451,4,0.0390901652515419,IN,{'IN'},1,from,from,from,4.292413551786179
i,3223,0.0047057964666374,7.731345361661037,1,0.0363821376852584,NN,"{'RB', 'VBN', 'VBD', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'IN', 'FW', 'VBG', 'NNS'}",1,i,i,i,18.072513364877906
any,3220,0.0047014162651481,7.732688861718604,3,0.0363545891878141,DT,{'DT'},1,ani,ani,any,22.043256150268387
one,3192,0.0046605343845816,7.745288898498236,3,0.0360971852299698,CD,"{'PRP', 'NN', 'CD'}",0,one,one,on,9.90320665782716
so,3024,0.0044152431011826,7.82329141049951,2,0.0345417334287494,RB,"{'RB', 'VBN', 'VB', 'VBP', 'IN', 'NNS'}",1,so,so,so,14.025388641986003
no,2974,0.0043422397430281,7.847344902668164,2,0.0340750529136153,DT,"{'RB', 'UH', 'DT', 'VB'}",1,no,no,no,9.90320665782716
with,2947,0.0043028179296247,7.860502489596582,4,0.0338223110480962,IN,{'IN'},1,with,with,with,15.382834376094431
ideas,2618,0.0038224558329683,8.031284452775342,5,0.0306992301027388,NNS,"{'RB', 'VBN', 'VB', 'VBP', 'VBZ', 'JJ', 'IN', 'RP', 'NNS'}",0,idea,idea,idea,96.16632391436386
man,2493,0.0036399474375821,8.101866667229082,3,0.0294903688150125,NN,{'NN'},0,man,man,man,33.48321623689644
our,2489,0.0036341071689297,8.104183319739546,3,0.0294514707005865,PRP$,{'PRP$'},1,our,our,our,59.24937256648357
other,2449,0.0035757044824061,8.127556776156604,5,0.0290617411955139,JJ,{'JJ'},1,other,other,oth,19.40464793831402
there,2401,0.0035056212585778,8.156114146490166,5,0.0285922471393238,EX,"{'RB', 'VBN', 'EX', 'VB'}",1,there,there,ther,14.025388641986003
men,2342,0.0034194772959556,8.192008474219367,3,0.0280123869858691,NNS,{'NNS'},0,men,men,men,33.48321623689644
if,2342,0.0034194772959556,8.192008474219367,2,0.0280123869858691,IN,{'IN'},1,if,if,if,15.382834376094431
those,2149,0.0031376843334793,8.316084067292799,5,0.0260932466938417,DT,{'DT'},1,those,those,thos,33.48321623689644
what,2108,0.0030778215797926,8.343874683083367,4,0.0256809575586797,WP,"{'WDT', 'VBN', 'WP', 'VB'}",1,what,what,what,18.072513364877906
will,2100,0.0030661410424879,8.349360222167098,4,0.0256003160557028,MD,{'MD'},1,will,will,wil,25.936244721217257
may,1999,0.0029186742590159,8.420471077975956,3,0.0245766121840764,MD,{'MD'},0,may,may,may,20.728245804887383
such,1993,0.0029099138560373,8.424807839881524,4,0.0245154650677235,JJ,"{'VB', 'JJ', 'PDT'}",1,such,such,such,24.64730796630741
on,1975,0.0028836326471017,8.437896896768756,2,0.024331794964401,IN,{'IN'},1,on,on,on,15.382834376094431
at,1948,0.0028442108336983,8.45775587263824,2,0.0240556408817335,IN,{'IN'},1,at,at,at,18.072513364877906
when,1892,0.0027624470725653,8.499837461381187,4,0.0234803511124736,WRB,{'WRB'},1,when,when,when,27.21638450063327
can,1855,0.002708424587531,8.528330363212417,3,0.0230983396463119,MD,{'MD'},1,can,can,can,24.64730796630741
was,1851,0.0027025843188786,8.53144465485001,3,0.0230569485415788,VBD,{'VBD'},1,wa,was,was,50.8834757153084
an,1810,0.0026427215651919,8.563759852750016,2,0.0226316328419879,DT,{'DT'},1,an,an,an,18.072513364877906
being,1797,0.0026237406920718,8.574159141210641,5,0.022496370239094,VBG,{'VBG'},1,be,be,being,18.072513364877906
more,1768,0.0025813987443422,8.597631275329151,4,0.0221939145784522,RBR,"{'RBR', 'JJR', 'VBD'}",1,more,more,mor,29.75005658727751
power,1689,0.0024660534384581,8.663580221919197,5,0.021364851795622,NN,{'NN'},0,power,power,pow,53.036936509820094
him,1676,0.002447072565338,8.674727401021231,3,0.0212276874348249,PRP,{'PRP'},1,him,him,him,53.036936509820094
than,1657,0.0024193312892393,8.691175947499131,4,0.0210268339100687,IN,{'IN'},1,than,than,than,23.349627551561525
were,1604,0.0023419477295955,8.738075408265662,4,0.0204641158634225,VBD,{'VBD'},1,were,were,wer,49.79157650520912
same,1576,0.002301065849029,8.763482015264206,4,0.0201653491839047,JJ,{'JJ'},1,same,same,sam,41.87155994280349
has,1569,0.0022908453788874,8.769904197752485,3,0.0200904945047067,VBZ,{'VBZ'},1,ha,has,has,22.043256150268387
these,1483,0.0021652796028617,8.851230952265952,5,0.0191653898411598,DT,{'DT'},1,these,these,thes,23.349627551561525
idea,1443,0.0021068769163381,8.890678250229385,4,0.0187315647759979,NN,{'NN'},0,idea,idea,ide,95.74160811844821
god,1402,0.0020470141626514,8.93226320070996,3,0.0182844692763839,NN,"{'RB', 'PDT', 'VBN', 'VBD', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'FW', 'VBG', 'NNS'}",0,god,god,god,85.40752904338488
who,1386,0.002023653088042,8.948822292583369,3,0.0181093118667258,WP,{'WP'},1,who,who,who,40.70139337574946
without,1373,0.0020046722149218,8.962417924573481,7,0.0179667101919103,IN,{'IN'},0,without,without,without,31.003478943468824
would,1313,0.0019170681851365,9.026882633827697,5,0.0173051495082723,MD,{'MD'},0,would,would,would,41.87155994280349
another,1303,0.0019024675135056,9.037912466152449,7,0.0171943348567625,DT,{'DT'},0,anoth,anoth,anoth,37.13419211651976
had,1281,0.0018703460359176,9.062479074378937,3,0.0169499718123513,VBD,"{'JJ', 'VBN', 'VBD'}",1,had,had,had,56.190202647810516
some,1267,0.0018499050956343,9.078333025579774,4,0.016794054523886,DT,{'DT'},1,some,some,som,50.8834757153084
make,1254,0.0018309242225142,9.093212201918544,4,0.0166489824809546,VB,"{'VB', 'VBP', 'NN', 'JJ', 'FW'}",0,make,make,mak,41.87155994280349
only,1251,0.0018265440210249,9.096667760554762,4,0.0166154641092918,RB,"{'RB', 'JJ'}",1,onli,onli,on,34.70941703460922
us,1239,0.0018090232150678,9.11057336257998,2,0.0164812387154863,PRP,{'PRP'},0,us,us,us,66.00957930035743
nature,1221,0.0017827420061322,9.13168634973318,6,0.0162794408424941,NN,"{'RB', 'VB', 'VBP', 'NN', 'JJ', 'IN'}",0,natur,natur,nat,55.14946841291437
things,1215,0.0017739816031537,9.13879323622744,6,0.0162120510760933,NNS,{'NNS'},0,thing,thing,thing,62.212354898177765
own,1206,0.0017608409986859,9.149519642820495,3,0.0161108493053606,JJ,"{'VB', 'VBP', 'JJ', 'IN', 'RP'}",1,own,own,own,40.70139337574946
into,1189,0.0017360198569134,9.170000834974926,4,0.015919303537429,IN,{'IN'},1,into,into,into,28.487673334705654
its,1173,0.0017126587823039,9.189546536692074,3,0.0157385575814568,PRP$,{'PRP$'},1,it,it,it,54.09835498747064
should,1167,0.0017038983793254,9.196944989013234,6,0.0156706596615249,MD,{'MD'},1,should,should,should,40.70139337574946
shall,1148,0.0016761571032267,9.220626908044895,5,0.0154552192881231,MD,{'MD'},0,shall,shall,shal,46.456041536808684
yet,1137,0.0016600963644327,9.234517295828336,3,0.015330188590096,RB,"{'RB', 'VBZ', 'VBP', 'VB', 'NN', 'CC', 'IN', 'NNS'}",0,yet,yet,yet,59.24937256648357
therefore,1136,0.0016586362972696,9.2357867152159,9,0.0153188110796981,RB,"{'RB', 'VBD', 'VB', 'VBP', 'EX', 'NN', 'JJ', 'IN', 'RP', 'JJR', 'WDT'}",0,therefor,therefor,theref,51.96528606666919
made,1125,0.0016425755584756,9.249824548616184,4,0.0151935357237453,VBN,"{'VBN', 'VBD', 'VB'}",0,made,made,mad,40.70139337574946
first,1101,0.0016075339465615,9.280935081156214,5,0.0149194181987925,JJ,"{'RB', 'VB', 'VBP', 'NN', 'JJ'}",0,first,first,first,40.70139337574946
law,1096,0.001600233610746,9.287501751760056,3,0.0148621724630296,NN,{'NN'},0,law,law,law,88.29701942854575
every,1088,0.0015885530734413,9.298070993470244,5,0.0147704792537532,DT,{'DT'},0,everi,everi,every,48.68965849902067
mind,1081,0.0015783326032997,9.307383026985931,4,0.0146901460828906,NN,"{'RB', 'VB', 'VBP', 'NN', 'IN'}",0,mind,mind,mind,80.06252088466695
because,1017,0.001484888304862,9.395429870863085,7,0.0139511639343959,IN,"{'RB', 'VB', 'VBP', 'NN', 'IN'}",1,becaus,becaus,becaus,49.79157650520912
right,1009,0.0014732077675573,9.406823375614223,5,0.0138582052649945,NN,"{'RB', 'VBN', 'VBD', 'VB', 'NN', 'JJ', 'VBG'}",0,right,right,right,61.23551457011944
do,1008,0.0014717477003942,9.408253911220664,2,0.0138465760585639,VBP,"{'VBP', 'NN', 'JJ', 'VB'}",1,do,do,do,34.70941703460922
reason,978,0.0014279456855015,9.451843179768348,6,0.0134967186885873,NN,{'NN'},0,reason,reason,reason,70.50179595221071
though,971,0.0014177252153599,9.46220634930139,6,0.0134148085343431,IN,"{'RB', 'VB', 'VBP', 'NN', 'IN'}",0,though,though,though,55.14946841291437
nor,971,0.0014177252153599,9.46220634930139,3,0.0134148085343431,CC,{'CC'},1,nor,nor,nor,48.68965849902067
knowledge,968,0.0014133450138706,9.466670597445988,9,0.013379671686856,NN,"{'VBN', 'VBD', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'NNP', 'NNS'}",0,knowledg,knowledg,knowledg,91.27668516488673
also,941,0.0013739232004672,9.507482921992043,4,0.0130625513645707,RB,{'RB'},0,also,also,also,48.68965849902067
people,930,0.0013578624616732,9.524446928725188,6,0.0129328889527148,NNS,{'NNS'},0,peopl,peopl,peopl,77.07412554406173
use,927,0.0013534822601839,9.529108306095052,3,0.0128974790476713,NN,"{'VB', 'VBP', 'EX', 'NN', 'IN'}",0,use,use,us,65.0769631890417
body,922,0.0013461819243685,9.536910894291244,4,0.012838417060208,NN,"{'VBP', 'NN', 'JJ', 'VB'}",0,bodi,bodi,body,71.36542508798105
upon,914,0.0013345013870638,9.549483479662513,4,0.0127437989493525,IN,"{'RB', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'IN', 'RP'}",0,upon,upon,upon,66.93092424200835
cannot,912,0.0013315812527376,9.552643820555842,6,0.012720121425532,VBP,"{'RB', 'VBN', 'VBD', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'NNS'}",0,cannot,cannot,cannot,46.456041536808684
been,904,0.0013199007154329,9.565354872305395,4,0.0126253187393255,VBN,{'VBN'},1,been,been,been,43.03217216822423
must,897,0.0013096802452912,9.576569659801322,4,0.0125422441010976,MD,{'MD'},0,must,must,must,63.178265613803575
words,887,0.0012950795736603,9.59274354041952,5,0.0124233662145599,NNS,{'NNS'},0,word,word,word,84.15270366488159
much,879,0.0012833990363556,9.605814479577178,4,0.0123280930465007,JJ,"{'RB', 'JJ'}",0,much,much,much,51.96528606666919
themselves,873,0.0012746386333771,9.615695991091142,10,0.0122565375970544,PRP,{'PRP'},1,themselv,themselv,themselv,64.13316328322645
say,864,0.0012614980289093,9.630646332557117,3,0.0121490413656436,VB,"{'VBP', 'NN', 'VB'}",0,say,say,say,63.178265613803575
time,862,0.0012585778945831,9.633989775631484,4,0.0121251265682498,NN,{'NN'},0,time,time,tim,71.36542508798105
state,852,0.0012439772229522,9.650824214494744,5,0.0120054055055475,NN,{'NN'},0,state,state,stat,86.01399862387979
great,840,0.0012264564169951,9.67128831705446,5,0.0118614136170619,JJ,{'JJ'},0,great,great,gre,46.456041536808684
most,838,0.001223536282669,9.674727401021231,4,0.0118373800000814,RBS,"{'JJS', 'RBS', 'VBN', 'VB'}",1,most,most,most,53.036936509820094
very,831,0.0012133158125273,9.686829167950238,4,0.0117531830027254,RB,"{'RB', 'NN', 'JJ', 'VBP'}",1,veri,veri,very,61.23551457011944
then,822,0.0012001752080595,9.7025392510389,4,0.0116447470643217,RB,{'RB'},1,then,then,then,34.70941703460922
where,815,0.0011899547379179,9.714877585602142,5,0.0115602646112801,WRB,{'WRB'},1,where,where,wher,59.24937256648357
nothing,791,0.0011549131260037,9.757999950247791,7,0.0112696422260855,NN,{'NN'},0,noth,noth,noth,56.190202647810516
how,788,0.0011505329245145,9.763482015264206,3,0.0112332075164669,WRB,{'WRB'},1,how,how,how,62.212354898177765
think,764,0.0011154913126003,9.808105006684832,5,0.0109408559280292,VBP,"{'VBP', 'NN', 'VB'}",0,think,think,think,71.36542508798105
part,762,0.0011125711782742,9.81188664722726,4,0.0109164222881985,NN,{'NN'},0,part,part,part,61.23551457011944
good,756,0.0011038107752956,9.82329141049951,4,0.0108430549077786,JJ,"{'NN', 'JJ', 'VBD'}",0,good,good,good,69.62643745924875
two,736,0.0010746094320338,9.861971878663567,3,0.0105977679992646,CD,{'CD'},0,two,two,two,57.22048247932167
hath,721,0.0010527084245875,9.89167838547976,4,0.0104130531697049,NN,"{'RB', 'PDT', 'VBD', 'VB', 'VBP', 'VBZ', 'MD', 'PRP', 'NN', 'JJ', 'VBG'}",0,hath,hath,hath,80.7774137235321
before,707,0.0010322674843042,9.919967429911184,6,0.0102400598232547,IN,"{'RB', 'IN'}",1,befor,befor,bef,58.24023159658363
thing,705,0.001029347349978,9.924054387434428,5,0.0102152990847441,NN,{'NN'},0,thing,thing,thing,73.88496692215578
out,703,0.0010264272156519,9.928152955648049,3,0.0101905263948322,IN,"{'RB', 'NN', 'RP', 'IN'}",1,out,out,out,61.23551457011944
name,700,0.0010220470141626,9.934322722888254,4,0.0101533448766561,NN,"{'VBZ', 'VBP', 'VB', 'NN', 'JJ'}",0,name,name,nam,77.8403199496003
names,685,0.0010001460067163,9.965573656872694,5,0.0099670286975584,NNS,"{'RB', 'VB', 'VBZ', 'IN', 'NNS'}",0,name,name,nam,96.51608608411212
others,680,0.0009928456709008,9.97614289858288,6,0.0099047702891463,NNS,{'NNS'},0,other,other,oth,66.93092424200835
himself,675,0.0009855453350854,9.98679014278239,7,0.0098424344376961,PRP,{'PRP'},1,himself,himself,himself,77.8403199496003
government,660,0.000963644327639,10.019211620474769,10,0.0096549564454859,NN,{'NN'},0,govern,govern,govern,94.67481377578076
many,657,0.0009592641261498,10.025784274398251,4,0.009617375190947,JJ,{'JJ'},0,mani,mani,many,63.178265613803575
know,637,0.000930062782888,10.070384272464285,4,0.0093660896211998,VB,"{'RB', 'VBD', 'VBZ', 'VBP', 'VB', 'MD', 'NN', 'JJ', 'VBG', 'NNS'}",0,know,know,know,76.29538580615058
could,628,0.0009169221784202,10.090913085828957,5,0.0092525820089072,MD,{'MD'},0,could,could,could,75.50420888797464
laws,619,0.0009037815739524,10.111738235506316,4,0.0091388026978805,NNS,{'NNS'},0,law,law,law,95.96321431489996
place,612,0.0008935611038107,10.12814599202793,5,0.0090501173121931,NN,"{'VBZ', 'VBP', 'VB', 'NN', 'JJ'}",0,place,place,plac,74.70070109281976
up,609,0.0008891809023215,10.13523541681425,2,0.0090120577731637,RP,"{'RB', 'RP', 'IN'}",1,up,up,up,62.212354898177765
general,579,0.0008453788874288,10.208114296731344,7,0.0086297243069169,JJ,"{'NN', 'JJ', 'VB'}",0,gener,general,gen,90.34443274100208
different,577,0.0008424587531026,10.2131063260751,9,0.0086041208207699,JJ,{'JJ'},0,differ,differ,diff,81.47919097227566
certain,575,0.0008395386187764,10.218115688888846,7,0.0085785027319478,JJ,{'JJ'},0,certain,certain,certain,78.59385897318059
simple,575,0.0008395386187764,10.218115688888846,6,0.0085785027319478,JJ,"{'NN', 'JJ', 'NNS', 'VB'}",0,simpl,simpl,simpl,95.96321431489996
life,573,0.0008366184844502,10.223142505963676,4,0.0085528699896586,NN,{'NN'},0,life,life,lif,88.83133862140073
either,566,0.0008263980143086,10.2408755918887,6,0.0084630392539188,DT,"{'RB', 'VBN', 'VB', 'VBP', 'VBZ', 'DT', 'NN', 'CC', 'IN', 'JJ', 'VBG'}",0,either,either,eith,57.22048247932167
having,562,0.0008205577456563,10.251107514499656,6,0.0084116256725781,VBG,{'VBG'},1,have,have,hav,63.178265613803575
whether,561,0.0008190976784932,10.25367687411179,7,0.0083987629236044,IN,{'IN'},0,whether,whether,wheth,76.29538580615058
thus,555,0.0008103372755146,10.269189873483114,4,0.0083215073438211,RB,{'RB'},0,thu,thus,thu,61.23551457011944
never,552,0.0008059570740254,10.277009377942411,5,0.0082828284079781,RB,{'RB'},0,never,never,nev,62.212354898177765
authority,544,0.0007942765367206,10.298070993470244,9,0.0081795161635973,NN,"{'NN', 'JJ', 'VBN', 'VB'}",0,author,author,auth,92.95160332891358
called,542,0.0007913564023945,10.30338479336671,6,0.0081536495225649,VBN,"{'JJ', 'VBN', 'VBD'}",0,call,call,cal,76.29538580615058
word,530,0.0007738355964374,10.33568528527002,4,0.0079981211873165,NN,{'NN'},0,word,word,word,88.29701942854575
under,529,0.0007723755292743,10.338409922606555,5,0.0079851348358283,IN,{'IN'},1,under,under,und,64.13316328322645
particular,525,0.0007665352606219,10.349360222167098,10,0.0079331495351696,JJ,"{'VBP', 'NN', 'JJ'}",0,particular,particular,particul,77.07412554406173
take,519,0.0007577748576434,10.3659431063627,4,0.0078550510617641,VB,"{'VBP', 'NN', 'JJ', 'VB'}",0,take,take,tak,65.0769631890417
between,517,0.0007548547233172,10.371513364405647,7,0.0078289858510698,IN,{'IN'},1,between,between,between,68.73944420274442
well,512,0.0007475543875018,10.385533834720585,4,0.007763751384694,RB,"{'RB', 'NN', 'VBP'}",0,well,well,wel,70.50179595221071
commonwealth,508,0.0007417141188494,10.396849147948418,12,0.0077114898045813,NN,"{'NN', 'VBN', 'VB'}",0,commonwealth,commonwealth,commonweal,95.08386615051099
way,506,0.0007387939845232,10.402540260026273,3,0.0076853341678687,NN,{'NN'},0,way,way,way,71.36542508798105
come,506,0.0007387939845232,10.402540260026273,4,0.0076853341678687,VB,"{'VBN', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'NNS'}",0,come,come,com,73.88496692215578
both,503,0.000734413783034,10.411119244915056,4,0.0076460694702763,DT,"{'VBP', 'CC', 'DT', 'PDT'}",1,both,both,both,69.62643745924875
true,500,0.0007300335815447,10.419749550058496,4,0.0076067670828285,JJ,{'JJ'},0,true,true,tru,81.47919097227566
world,499,0.0007285735143816,10.422637829383325,5,0.007593657872481,NN,{'NN'},0,world,world,world,88.29701942854575
against,498,0.0007271134472185,10.425531902652502,7,0.0075805444408248,IN,{'IN'},1,against,against,against,88.83133862140073
soveraign,492,0.00071835304424,10.443019329381343,9,0.0075017747263186,NN,"{'VBN', 'VBZ', 'VB', 'VBP', 'NN', 'JJ'}",0,soveraign,soveraign,soveraign,77.07384645153765
common,490,0.0007154329099138,10.448895895718012,6,0.0074754839960604,JJ,{'JJ'},0,common,common,common,75.50420888797464
parts,487,0.0007110527084245,10.45775587263824,5,0.0074360156372825,NNS,{'NNS'},0,part,part,part,87.74797860223885
necessary,486,0.0007095926412614,10.4607213311148,9,0.0074228508788462,JJ,{'JJ'},0,necessari,necessari,necess,75.50420888797464
real,482,0.0007037523726091,10.47264449849062,4,0.0073701484133048,JJ,{'JJ'},0,real,real,real,96.68271254399052
my,481,0.000702292305446,10.47564075095054,2,0.0073569618940096,PRP$,{'PRP$'},1,my,my,my,86.01399862387979
see,480,0.0007008322382829,10.478643239112063,3,0.0073437709954355,VB,"{'VBP', 'NN', 'NNS', 'VB'}",0,see,see,see,70.50179595221071
little,477,0.0006964520367936,10.48768837871507,6,0.0073041719326136,JJ,"{'RB', 'VBZ', 'VBP', 'VB', 'JJ'}",0,littl,littl,littl,86.60632390875702
after,476,0.0006949919696306,10.490716071412638,5,0.0072909634253064,IN,{'IN'},1,after,after,aft,87.74797860223885
motion,476,0.0006949919696306,10.490716071412638,6,0.0072909634253064,NN,"{'NN', 'JJ', 'VB'}",0,motion,motion,mot,96.35035054640987
find,476,0.0006949919696306,10.490716071412638,4,0.0072909634253064,VB,"{'VBZ', 'VBP', 'VB', 'NN', 'IN', 'NNS'}",0,find,find,find,77.07412554406173
itself,471,0.0006876916338151,10.5059505851078,6,0.007224854322654,PRP,{'PRP'},1,itself,itself,itself,83.50461467440938
matter,470,0.000686231566652,10.509016888155582,6,0.007211619123132,NN,"{'RB', 'VB', 'VBP', 'RBR', 'NN', 'JJ', 'JJR'}",0,matter,matter,mat,87.74797860223885
together,461,0.0006730909621842,10.536910894291244,8,0.0070922994922883,RB,"{'RB', 'VBP', 'NN', 'IN', 'RP', 'NNS'}",0,togeth,togeth,togeth,71.36542508798105
give,458,0.0006687107606949,10.546330046623638,4,0.0070524443880181,VB,"{'VBP', 'NN', 'JJ', 'VB'}",0,give,give,giv,69.62643745924875
liberty,457,0.0006672506935319,10.549483479662513,7,0.0070391501682081,NN,"{'VBN', 'VBD', 'VBZ', 'VB', 'VBP', 'RBR', 'NN', 'JJ', 'IN'}",0,liberti,liberti,liberty,93.32980179187233
truth,455,0.0006643305592057,10.555811099634523,5,0.0070125478906901,NN,"{'RB', 'VBN', 'VB', 'NN', 'JJ', 'IN', 'RP'}",0,truth,truth,tru,96.16632391436386
said,454,0.0006628704920426,10.558985347429669,4,0.0069992398127216,VBD,{'VBD'},0,said,said,said,73.05710912106287
subject,453,0.0006614104248795,10.562166594674348,7,0.006985927095032,JJ,"{'VBP', 'NN', 'JJ', 'VB'}",0,subject,subject,subject,87.74797860223885
species,446,0.0006511899547379,10.584633934800278,7,0.00689260729292,NNS,"{'NNS', 'VBZ'}",0,speci,speci,specy,88.48406118030432
even,446,0.0006511899547379,10.584633934800278,4,0.00689260729292,RB,"{'RB', 'NN'}",0,even,even,ev,71.36542508798105
bodies,445,0.0006497298875748,10.587872308866825,6,0.0068792570848966,NNS,"{'NNS', 'VBZ'}",0,bodi,bodi,body,96.66223897647686
does,444,0.0006482698204117,10.591117968370476,4,0.006865902143315,VBZ,{'VBZ'},1,doe,doe,doe,67.84090926279987
always,442,0.0006453496860855,10.597631275329151,6,0.0068391780167841,RB,{'RB'},0,alway,alway,alway,86.01399862387979
complex,442,0.0006453496860855,10.597631275329151,7,0.0068391780167841,JJ,"{'VBP', 'NN', 'JJ'}",0,complex,complex,complex,87.75086973586721
far,441,0.0006438896189224,10.600898989163062,3,0.0068258088103678,RB,{'RB'},0,far,far,far,86.01399862387979
several,441,0.0006438896189224,10.600898989163062,7,0.0068258088103678,JJ,{'JJ'},0,sever,sever,sev,94.67481377578076
distinct,436,0.000636589283107,10.617349509943656,8,0.0067588909130317,JJ,"{'RB', 'VBN', 'VB', 'VBP', 'NN', 'JJ', 'NNS'}",0,distinct,distinct,distinct,96.51608608411212
over,436,0.000636589283107,10.617349509943656,4,0.0067588909130317,IN,"{'RB', 'VB', 'NN', 'IN', 'RP'}",1,over,over,ov,86.60632390875702
thought,429,0.0006263688129653,10.640699997221038,7,0.0066650026263802,VBN,"{'RB', 'VBN', 'VBD', 'VB', 'NN', 'JJ'}",0,thought,thought,thought,86.60632390875702
you,427,0.0006234486786392,10.647441575100093,3,0.0066381333808844,PRP,{'PRP'},1,you,you,you,96.16632391436386
about,421,0.0006146882756606,10.667857411654186,5,0.0065574068773637,IN,"{'RB', 'RP', 'IN'}",1,about,about,about,83.50461467440938
like,415,0.0006059278726821,10.688566308486296,4,0.0064765002453231,JJ,"{'VB', 'VBP', 'NN', 'JJ', 'IN'}",0,like,like,lik,79.3346306173611
onely,410,0.0005986275368666,10.706053735215136,5,0.0064089385770743,RB,"{'RB', 'JJ'}",0,one,one,on,90.4758016644568
actions,410,0.0005986275368666,10.706053735215136,7,0.0064089385770743,NNS,{'NNS'},0,action,action,act,93.69141718804723
less,405,0.0005913272010512,10.723755736948595,4,0.006341248464687,RBR,"{'RB', 'VBN', 'VB', 'RBR', 'NN', 'CC', 'JJR', 'JJS'}",0,less,less,less,90.81831552736904
substances,404,0.0005898671338881,10.727322351968787,10,0.0063276948900502,NNS,"{'NNS', 'VBZ'}",0,substanc,substanc,subst,86.98160715744997
me,401,0.0005854869323988,10.738075408265662,2,0.0062870028306534,PRP,{'PRP'},1,me,me,me,90.34443274100208
minds,394,0.0005752664622572,10.763482015264206,5,0.0061918702204907,NNS,"{'VBP', 'NNS', 'VBZ'}",0,mind,mind,mind,97.04917749373531
society,386,0.0005635859249525,10.7930767974525,7,0.0060828261699761,NN,"{'NN', 'VB'}",0,societi,societi,socy,93.14850971427288
