term_str,n,p,i,n_chars,h,max_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
had,1281,0.0018703460359176523,9.062479074378937,3,0.01694997181235132,VBD,"{'JJ', 'VBN', 'VBD'}",1,had,had,had
some,1267,0.0018499050956343993,9.078333025579774,4,0.016794054523886076,DT,{'DT'},1,some,some,som
make,1254,0.0018309242225142356,9.093212201918544,4,0.016648982480954668,VB,"{'VB', 'VBP', 'NN', 'JJ', 'FW'}",0,make,make,mak
only,1251,0.0018265440210249672,9.096667760554762,4,0.016615464109291878,RB,"{'RB', 'JJ'}",1,onli,onli,on
us,1239,0.001809023215067893,9.11057336257998,2,0.016481238715486343,PRP,{'PRP'},0,us,us,us
nature,1221,0.001782742006132282,9.13168634973318,6,0.016279440842494105,NN,"{'RB', 'VB', 'VBP', 'NN', 'JJ', 'IN'}",0,natur,natur,nat
things,1215,0.001773981603153745,9.138793236227439,6,0.016212051076093355,NNS,{'NNS'},0,thing,thing,thing
own,1206,0.0017608409986859396,9.149519642820497,3,0.016110849305360664,JJ,"{'VB', 'VBP', 'JJ', 'IN', 'RP'}",1,own,own,own
into,1189,0.001736019856913418,9.170000834974926,4,0.015919303537429094,IN,{'IN'},1,into,into,into
its,1173,0.001712658782303986,9.189546536692074,3,0.01573855758145686,PRP$,{'PRP$'},1,it,it,it
should,1167,0.001703898379325449,9.196944989013234,6,0.01567065966152496,MD,{'MD'},1,should,should,should
shall,1148,0.0016761571032267485,9.220626908044895,5,0.015455219288123143,MD,{'MD'},0,shall,shall,shal
yet,1137,0.001660096364432764,9.234517295828335,3,0.015330188590096097,RB,"{'RB', 'VBZ', 'VBP', 'VB', 'NN', 'CC', 'IN', 'NNS'}",0,yet,yet,yet
therefore,1136,0.0016586362972696744,9.2357867152159,9,0.015318811079698149,RB,"{'RB', 'VBD', 'VB', 'VBP', 'EX', 'NN', 'JJ', 'IN', 'RP', 'JJR', 'WDT'}",0,therefor,therefor,theref
made,1125,0.0016425755584756898,9.249824548616184,4,0.015193535723745374,VBN,"{'VBN', 'VBD', 'VB'}",0,made,made,mad
first,1101,0.0016075339465615418,9.280935081156214,5,0.01491941819879251,JJ,"{'RB', 'VB', 'VBP', 'NN', 'JJ'}",0,first,first,first
law,1096,0.0016002336107460943,9.287501751760056,3,0.01486217246302967,NN,{'NN'},0,law,law,law
every,1088,0.0015885530734413783,9.298070993470244,5,0.014770479253753285,DT,{'DT'},0,everi,everi,every
mind,1081,0.0015783326032997517,9.307383026985931,4,0.014690146082890628,NN,"{'RB', 'VB', 'VBP', 'NN', 'IN'}",0,mind,mind,mind
because,1017,0.0014848883048620236,9.395429870863083,7,0.013951163934395905,IN,"{'RB', 'VB', 'VBP', 'NN', 'IN'}",1,becaus,becaus,becaus
right,1009,0.0014732077675573077,9.406823375614225,5,0.01385820526499453,NN,"{'RB', 'VBN', 'VBD', 'VB', 'NN', 'JJ', 'VBG'}",0,right,right,right
do,1008,0.0014717477003942181,9.408253911220665,2,0.013846576058563922,VBP,"{'VBP', 'NN', 'JJ', 'VB'}",1,do,do,do
reason,978,0.001427945685501533,9.451843179768348,6,0.013496718688587303,NN,{'NN'},0,reason,reason,reason
though,971,0.0014177252153599067,9.46220634930139,6,0.01341480853434319,IN,"{'RB', 'VB', 'VBP', 'NN', 'IN'}",0,though,though,though
nor,971,0.0014177252153599067,9.46220634930139,3,0.01341480853434319,CC,{'CC'},1,nor,nor,nor
knowledge,968,0.001413345013870638,9.466670597445988,9,0.01337967168685606,NN,"{'VBN', 'VBD', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'NNP', 'NNS'}",0,knowledg,knowledg,knowledg
also,941,0.0013739232004672216,9.507482921992045,4,0.013062551364570761,RB,{'RB'},0,also,also,also
people,930,0.001357862461673237,9.524446928725188,6,0.012932888952714886,NNS,{'NNS'},0,peopl,peopl,peopl
use,927,0.0013534822601839684,9.529108306095052,3,0.012897479047671358,NN,"{'VB', 'VBP', 'EX', 'NN', 'IN'}",0,use,use,us
body,922,0.0013461819243685209,9.536910894291244,4,0.012838417060208098,NN,"{'VBP', 'NN', 'JJ', 'VB'}",0,bodi,bodi,body
upon,914,0.001334501387063805,9.549483479662513,4,0.012743798949352514,IN,"{'RB', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'IN', 'RP'}",0,upon,upon,upon
cannot,912,0.0013315812527376258,9.552643820555842,6,0.012720121425532088,VBP,"{'RB', 'VBN', 'VBD', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'NNS'}",0,cannot,cannot,cannot
been,904,0.00131990071543291,9.565354872305395,4,0.01262531873932556,VBN,{'VBN'},1,been,been,been
must,897,0.0013096802452912833,9.576569659801322,4,0.012542244101097657,MD,{'MD'},0,must,must,must
words,887,0.0012950795736603885,9.59274354041952,5,0.012423366214559957,NNS,{'NNS'},0,word,word,word
much,879,0.0012833990363556723,9.605814479577178,4,0.012328093046500715,JJ,"{'RB', 'JJ'}",0,much,much,much
themselves,873,0.0012746386333771353,9.615695991091142,10,0.012256537597054412,PRP,{'PRP'},1,themselv,themselv,themselv
say,864,0.0012614980289093298,9.630646332557115,3,0.012149041365643666,VB,"{'VBP', 'NN', 'VB'}",0,say,say,say
time,862,0.001258577894583151,9.633989775631484,4,0.012125126568249876,NN,{'NN'},0,time,time,tim
state,852,0.001243977222952256,9.650824214494744,5,0.012005405505547557,NN,{'NN'},0,state,state,stat
great,840,0.0012264564169951818,9.67128831705446,5,0.011861413617061974,JJ,{'JJ'},0,great,great,gre
most,838,0.0012235362826690027,9.674727401021231,4,0.011837380000081459,RBS,"{'JJS', 'RBS', 'VBN', 'VB'}",1,most,most,most
very,831,0.0012133158125273763,9.686829167950238,4,0.011753183002725431,RB,"{'RB', 'NN', 'JJ', 'VBP'}",1,veri,veri,very
then,822,0.0012001752080595708,9.7025392510389,4,0.011644747064321764,RB,{'RB'},1,then,then,then
where,815,0.0011899547379179442,9.714877585602142,5,0.011560264611280107,WRB,{'WRB'},1,where,where,wher
nothing,791,0.0011549131260037962,9.757999950247791,7,0.011269642226085565,NN,{'NN'},0,noth,noth,noth
how,788,0.0011505329245145278,9.763482015264206,3,0.011233207516466922,WRB,{'WRB'},1,how,how,how
think,764,0.0011154913126003795,9.808105006684833,5,0.010940855928029219,VBP,"{'VBP', 'NN', 'VB'}",0,think,think,think
part,762,0.0011125711782742007,9.81188664722726,4,0.010916422288198528,NN,{'NN'},0,part,part,part
good,756,0.0011038107752956636,9.82329141049951,4,0.010843054907778696,JJ,"{'NN', 'JJ', 'VBD'}",0,good,good,good
two,736,0.0010746094320338735,9.861971878663569,3,0.010597767999264691,CD,{'CD'},0,two,two,two
hath,721,0.001052708424587531,9.89167838547976,4,0.010413053169704931,NN,"{'RB', 'PDT', 'VBD', 'VB', 'VBP', 'VBZ', 'MD', 'PRP', 'NN', 'JJ', 'VBG'}",0,hath,hath,hath
before,707,0.001032267484304278,9.919967429911184,6,0.010240059823254792,IN,"{'RB', 'IN'}",1,befor,befor,bef
thing,705,0.001029347349978099,9.924054387434428,5,0.010215299084744153,NN,{'NN'},0,thing,thing,thing
out,703,0.00102642721565192,9.928152955648047,3,0.010190526394832205,IN,"{'RB', 'NN', 'RP', 'IN'}",1,out,out,out
name,700,0.0010220470141626514,9.934322722888254,4,0.010153344876656121,NN,"{'VBZ', 'VBP', 'VB', 'NN', 'JJ'}",0,name,name,nam
names,685,0.0010001460067163089,9.965573656872694,5,0.009967028697558469,NNS,"{'RB', 'VB', 'VBZ', 'IN', 'NNS'}",0,name,name,nam
others,680,0.0009928456709008614,9.97614289858288,6,0.009904770289146384,NNS,{'NNS'},0,other,other,oth
himself,675,0.0009855453350854138,9.98679014278239,7,0.009842434437696179,PRP,{'PRP'},1,himself,himself,himself
government,660,0.0009636443276390714,10.019211620474767,10,0.009654956445485977,NN,{'NN'},0,govern,govern,govern
many,657,0.0009592641261498029,10.025784274398253,4,0.009617375190947077,JJ,{'JJ'},0,mani,mani,many
know,637,0.0009300627828880128,10.070384272464283,4,0.009366089621199808,VB,"{'RB', 'VBD', 'VBZ', 'VBP', 'VB', 'MD', 'NN', 'JJ', 'VBG', 'NNS'}",0,know,know,know
could,628,0.0009169221784202073,10.090913085828955,5,0.009252582008907263,MD,{'MD'},0,could,could,could
laws,619,0.0009037815739524018,10.111738235506317,4,0.009138802697880581,NNS,{'NNS'},0,law,law,law
place,612,0.0008935611038107753,10.12814599202793,5,0.009050117312193157,NN,"{'VBZ', 'VBP', 'VB', 'NN', 'JJ'}",0,place,place,plac
up,609,0.0008891809023215068,10.13523541681425,2,0.009012057773163789,RP,"{'RB', 'RP', 'IN'}",1,up,up,up
general,579,0.0008453788874288218,10.208114296731345,7,0.008629724306916994,JJ,"{'NN', 'JJ', 'VB'}",0,gener,general,gen
different,577,0.0008424587531026427,10.213106326075101,9,0.008604120820769941,JJ,{'JJ'},0,differ,differ,diff
certain,575,0.0008395386187764637,10.218115688888846,7,0.008578502731947855,JJ,{'JJ'},0,certain,certain,certain
simple,575,0.0008395386187764637,10.218115688888846,6,0.008578502731947855,JJ,"{'NN', 'JJ', 'NNS', 'VB'}",0,simpl,simpl,simpl
life,573,0.0008366184844502847,10.223142505963677,4,0.008552869989658617,NN,{'NN'},0,life,life,lif
either,566,0.0008263980143086582,10.2408755918887,6,0.008463039253918827,DT,"{'RB', 'VBN', 'VB', 'VBP', 'VBZ', 'DT', 'NN', 'CC', 'IN', 'JJ', 'VBG'}",0,either,either,eith
having,562,0.0008205577456563002,10.251107514499656,6,0.008411625672578197,VBG,{'VBG'},1,have,have,hav
whether,561,0.0008190976784932107,10.25367687411179,7,0.008398762923604489,IN,{'IN'},0,whether,whether,wheth
thus,555,0.0008103372755146736,10.269189873483114,4,0.008321507343821182,RB,{'RB'},0,thu,thus,thu
never,552,0.0008059570740254052,10.277009377942413,5,0.008282828407978117,RB,{'RB'},0,never,never,nev
authority,544,0.0007942765367206892,10.298070993470244,9,0.008179516163597331,NN,"{'NN', 'JJ', 'VBN', 'VB'}",0,author,author,auth
called,542,0.0007913564023945102,10.30338479336671,6,0.008153649522564983,VBN,"{'JJ', 'VBN', 'VBD'}",0,call,call,cal
word,530,0.0007738355964374361,10.33568528527002,4,0.007998121187316558,NN,{'NN'},0,word,word,word
under,529,0.0007723755292743466,10.338409922606557,5,0.007985134835828396,IN,{'IN'},1,under,under,und
particular,525,0.0007665352606219887,10.349360222167098,10,0.007933149535169699,JJ,"{'VBP', 'NN', 'JJ'}",0,particular,particular,particul
take,519,0.0007577748576434516,10.365943106362701,4,0.007855051061764115,VB,"{'VBP', 'NN', 'JJ', 'VB'}",0,take,take,tak
between,517,0.0007548547233172726,10.371513364405647,7,0.00782898585106982,IN,{'IN'},1,between,between,between
well,512,0.0007475543875018251,10.385533834720583,4,0.007763751384694027,RB,"{'RB', 'NN', 'VBP'}",0,well,well,wel
commonwealth,508,0.000741714118849467,10.396849147948418,12,0.007711489804581393,NN,"{'NN', 'VBN', 'VB'}",0,commonwealth,commonwealth,commonweal
way,506,0.000738793984523288,10.402540260026273,3,0.0076853341678687305,NN,{'NN'},0,way,way,way
come,506,0.000738793984523288,10.402540260026273,4,0.0076853341678687305,VB,"{'VBN', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'NNS'}",0,come,come,com
both,503,0.0007344137830340195,10.411119244915055,4,0.00764606947027635,DT,"{'VBP', 'CC', 'DT', 'PDT'}",1,both,both,both
true,500,0.0007300335815447511,10.419749550058496,4,0.007606767082828513,JJ,{'JJ'},0,true,true,tru
world,499,0.0007285735143816616,10.422637829383323,5,0.00759365787248106,NN,{'NN'},0,world,world,world
against,498,0.000727113447218572,10.425531902652502,7,0.007580544440824858,IN,{'IN'},1,against,against,against
soveraign,492,0.0007183530442400351,10.443019329381343,9,0.007501774726318617,NN,"{'VBN', 'VBZ', 'VB', 'VBP', 'NN', 'JJ'}",0,soveraign,soveraign,soveraign
common,490,0.0007154329099138561,10.448895895718012,6,0.007475483996060485,JJ,{'JJ'},0,common,common,common
parts,487,0.0007110527084245875,10.45775587263824,5,0.007436015637282556,NNS,{'NNS'},0,part,part,part
necessary,486,0.000709592641261498,10.4607213311148,9,0.007422850878846245,JJ,{'JJ'},0,necessari,necessari,necess
real,482,0.00070375237260914,10.47264449849062,4,0.007370148413304831,JJ,{'JJ'},0,real,real,real
my,481,0.0007022923054460505,10.475640750950541,2,0.0073569618940096514,PRP$,{'PRP$'},1,my,my,my
see,480,0.000700832238282961,10.478643239112063,3,0.007343770995435524,VB,"{'VBP', 'NN', 'NNS', 'VB'}",0,see,see,see
little,477,0.0006964520367936925,10.48768837871507,6,0.007304171932613649,JJ,"{'RB', 'VBZ', 'VBP', 'VB', 'JJ'}",0,littl,littl,littl
after,476,0.000694991969630603,10.490716071412638,5,0.007290963425306491,IN,{'IN'},1,after,after,aft
motion,476,0.000694991969630603,10.490716071412638,6,0.007290963425306491,NN,"{'NN', 'JJ', 'VB'}",0,motion,motion,mot
find,476,0.000694991969630603,10.490716071412638,4,0.007290963425306491,VB,"{'VBZ', 'VBP', 'VB', 'NN', 'IN', 'NNS'}",0,find,find,find
itself,471,0.0006876916338151555,10.505950585107799,6,0.00722485432265407,PRP,{'PRP'},1,itself,itself,itself
matter,470,0.000686231566652066,10.509016888155582,6,0.007211619123132024,NN,"{'RB', 'VB', 'VBP', 'RBR', 'NN', 'JJ', 'JJR'}",0,matter,matter,mat
together,461,0.0006730909621842604,10.536910894291244,8,0.00709229949228831,RB,"{'RB', 'VBP', 'NN', 'IN', 'RP', 'NNS'}",0,togeth,togeth,togeth
give,458,0.000668710760694992,10.546330046623638,4,0.007052444388018143,VB,"{'VBP', 'NN', 'JJ', 'VB'}",0,give,give,giv
liberty,457,0.0006672506935319025,10.549483479662513,7,0.007039150168208159,NN,"{'VBN', 'VBD', 'VBZ', 'VB', 'VBP', 'RBR', 'NN', 'JJ', 'IN'}",0,liberti,liberti,liberty
truth,455,0.0006643305592057235,10.555811099634523,5,0.007012547890690186,NN,"{'RB', 'VBN', 'VB', 'NN', 'JJ', 'IN', 'RP'}",0,truth,truth,tru
said,454,0.0006628704920426339,10.558985347429667,4,0.006999239812721665,VBD,{'VBD'},0,said,said,said
subject,453,0.0006614104248795445,10.562166594674347,7,0.006985927095032091,JJ,"{'VBP', 'NN', 'JJ', 'VB'}",0,subject,subject,subject
species,446,0.0006511899547379179,10.584633934800278,7,0.006892607292920023,NNS,"{'NNS', 'VBZ'}",0,speci,speci,specy
even,446,0.0006511899547379179,10.584633934800278,4,0.006892607292920023,RB,"{'RB', 'NN'}",0,even,even,ev
bodies,445,0.0006497298875748285,10.587872308866823,6,0.00687925708489668,NNS,"{'NNS', 'VBZ'}",0,bodi,bodi,body
does,444,0.0006482698204117389,10.591117968370476,4,0.006865902143315069,VBZ,{'VBZ'},1,doe,doe,doe
always,442,0.0006453496860855599,10.597631275329151,6,0.0068391780167841795,RB,{'RB'},0,alway,alway,alway
complex,442,0.0006453496860855599,10.597631275329151,7,0.0068391780167841795,JJ,"{'VBP', 'NN', 'JJ'}",0,complex,complex,complex
far,441,0.0006438896189224705,10.600898989163062,3,0.006825808810367806,RB,{'RB'},0,far,far,far
several,441,0.0006438896189224705,10.600898989163062,7,0.006825808810367806,JJ,{'JJ'},0,sever,sever,sev
distinct,436,0.000636589283107023,10.617349509943656,8,0.006758890913031734,JJ,"{'RB', 'VBN', 'VB', 'VBP', 'NN', 'JJ', 'NNS'}",0,distinct,distinct,distinct
over,436,0.000636589283107023,10.617349509943656,4,0.006758890913031734,IN,"{'RB', 'VB', 'NN', 'IN', 'RP'}",1,over,over,ov
thought,429,0.0006263688129653964,10.640699997221038,7,0.006665002626380238,VBN,"{'RB', 'VBN', 'VBD', 'VB', 'NN', 'JJ'}",0,thought,thought,thought
you,427,0.0006234486786392174,10.647441575100093,3,0.00663813338088442,PRP,{'PRP'},1,you,you,you
about,421,0.0006146882756606804,10.667857411654186,5,0.006557406877363721,IN,"{'RB', 'RP', 'IN'}",1,about,about,about
like,415,0.0006059278726821434,10.688566308486296,4,0.006476500245323131,JJ,"{'VB', 'VBP', 'NN', 'JJ', 'IN'}",0,like,like,lik
onely,410,0.0005986275368666959,10.706053735215136,5,0.006408938577074325,RB,"{'RB', 'JJ'}",0,one,one,on
actions,410,0.0005986275368666959,10.706053735215136,7,0.006408938577074325,NNS,{'NNS'},0,action,action,act
less,405,0.0005913272010512483,10.723755736948595,4,0.0063412484646870795,RBR,"{'RB', 'VBN', 'VB', 'RBR', 'NN', 'CC', 'JJR', 'JJS'}",0,less,less,less
substances,404,0.0005898671338881588,10.727322351968787,10,0.0063276948900502115,NNS,"{'NNS', 'VBZ'}",0,substanc,substanc,subst
me,401,0.0005854869323988904,10.738075408265662,2,0.006287002830653424,PRP,{'PRP'},1,me,me,me
minds,394,0.0005752664622572639,10.763482015264206,5,0.006191870220490725,NNS,"{'VBP', 'NNS', 'VBZ'}",0,mind,mind,mind
society,386,0.0005635859249525478,10.793076797452501,7,0.006082826169976151,NN,"{'NN', 'VB'}",0,societi,societi,socy
might,384,0.0005606657906263689,10.800571333999427,5,0.006055510866193284,MD,{'MD'},0,might,might,might
sense,383,0.0005592057234632793,10.804333252795626,5,0.006041844993167944,NN,"{'VBN', 'VBD', 'VB', 'VBP', 'NN', 'JJ'}",0,sens,sens,sens
put,383,0.0005592057234632793,10.804333252795626,3,0.006041844993167944,VBN,"{'VBN', 'VBD', 'VB', 'VBP', 'NN', 'JJ', 'IN'}",0,put,put,put
whole,383,0.0005592057234632793,10.804333252795626,5,0.006041844993167944,JJ,"{'NN', 'JJ', 'NNS', 'VB'}",0,whole,whole,whol
new,381,0.0005562855891371003,10.81188664722726,3,0.006014496733236364,JJ,{'JJ'},0,new,new,new
makes,380,0.0005548255219740108,10.815678226389634,5,0.006000814317459572,VBZ,{'VBZ'},0,make,make,mak
done,378,0.0005519053876478318,10.82329141049951,4,0.00597343284153718,VBN,{'VBN'},0,done,done,don
each,374,0.0005460651189954738,10.838639374832946,4,0.005918602899967181,DT,{'DT'},1,each,each,each
taken,370,0.0005402248503431158,10.85415237420427,5,0.005863682841955877,VBN,{'VBN'},0,taken,taken,tak
thoughts,369,0.0005387647831800263,10.858056828660187,8,0.00584993863304951,NNS,"{'NNS', 'VBZ'}",0,thought,thought,thought
now,362,0.0005285443130383997,10.885687947637377,3,0.005753568458234385,RB,{'RB'},1,now,now,now
let,358,0.0005227040443860417,10.901718057456327,3,0.005698372119388765,VB,"{'VBN', 'VBD', 'VB', 'VBP', 'VBZ', 'NN', 'JJ'}",0,let,let,let
call,357,0.0005212439772229523,10.905753570691482,4,0.005684558365800642,VBP,"{'VBD', 'VB', 'VBP', 'DT', 'NN', 'JJ'}",0,call,call,cal
whom,357,0.0005212439772229523,10.905753570691482,4,0.005684558365800642,WP,{'WP'},1,whom,whom,whom
wherein,357,0.0005212439772229523,10.905753570691482,7,0.005684558365800642,NN,"{'RB', 'WRB', 'PDT', 'VBN', 'VBD', 'VBZ', 'VBP', 'VB', 'NN', 'JJ', 'IN', 'FW', 'VBG', 'NNS', 'WDT'}",0,wherein,wherein,wherein
person,356,0.0005197839100598628,10.909800403754184,6,0.00567073871183602,NN,{'NN'},0,person,person,person
whose,350,0.0005110235070813257,10.934322722888254,5,0.005587695945409386,WP$,{'WP$'},0,whose,whose,whos
since,350,0.0005110235070813257,10.934322722888254,5,0.005587695945409386,IN,{'IN'},0,sinc,sinc,sint
end,348,0.0005081033727551467,10.942590338871854,3,0.005559967057858673,NN,"{'VBP', 'NN', 'VB'}",0,end,end,end
force,342,0.0004993429697766098,10.967681319834684,5,0.005476634561809698,NN,"{'RB', 'VBN', 'VB', 'VBP', 'NN', 'JJ'}",0,forc,forc,forc
did,341,0.0004978829026135202,10.97190590569641,3,0.005462724359530553,VBD,{'VBD'},1,did,did,did
