book_id,chap_num,doc_str,term_count
1,12,advantage deliberations people people occasions deal difference considers interest interest account sum wills pluses minuses sum differences people information deliberations citizens communication total differences general decision factions associations expense association associations relation members relation state votes men associations differences result associations rest result sum differences difference case opinion general society state citizen thoughts sublime system societies solon numa servius precautions ones general people way interest marquis dargenson principles agreement interests opposition agreement interests opposition interests interest obstacle accord politics art fact macchiavelli divisions republic sects parties founder cannot help enmities sects history florence book vii rousseau,80
1,13,limits power state person life union members cares care preservation force order part nature man power members body power members power direction i name sovereignty person persons life liberty rights citizens sovereign duties subjects rights men man admit part powers goods liberty community sovereign judge service citizen state sovereign sovereign part cannot subjects fetters community law reason law nature anything cause undertakings body nature others right happiness man equality rights idea justice equality creates preference man nature man object essence rectitude object case something principle equity question fact arises point convention matter case individuals party public i law judge decision case question decision general conclusion parties consequence party occasion turn changes nature object cannot pronounce man fact instance people athens rulers honours penalties multitude decrees functions government cases sense sovereign views time foregoing number voters interest system conditions others agreement interest justice deliberations character vanishes question absence interest ruling judge party side principle conclusion sets citizens equality kind conditions rights nature act sovereignty i act citizens sovereign body nation distinctions act sovereignty convention convention body members contract object force power subjects conventions sort rights sovereign citizens latter undertakings power absolute limits conventions man goods liberty conventions sovereign right charges subject because case question ceases competency distinctions contract renunciation part individuals position result contract renunciation exchange way living independence power others security strength others right union life state states danger state nature battles peril lives defence means preservation country one something behalf security risks readers pray hurry terminology poverty language wait,229
1,14,right life death question individuals lives sovereign right difficulty question man right life order man window fire suicide crime charge storm board danger treaty end preservation contracting parties end means means risks losses life others sake citizen judge dangers law prince state condition security life bounty nature gift state deathpenalty criminals light order victims assassin assassins treaty parties malefactor rights becomes forfeit rebel traitor country laws member war case preservation state death citizen enemy trial judgment proofs treaty consequence member state exile violator compact death enemy enemy person man case right war condemnation criminal act condemnation function sovereign sovereign ideas punishments sign weakness remissness part government illdoer state right death sake example danger right penalty law judge authority judge law i right matter cases state punishments pardons criminals state decay multitude crimes guarantee impunity roman senate consuls people decision pardons crime noone heart protesting questions man need pardon,127
1,15,law compact body existence life legislation movement act body respect preservation conformity order nature things conventions justice god source inspiration government laws doubtless justice reason justice default sanctions laws justice men good undoing man towards everybody nobody conventions laws rights duties justice state nature everything nothing nothing recognise others use state society rights law case law ideas word understanding law nature nearer definition law state i object object state relation part state case relation part beings part minus part minus part cannot relation whole parts relation people decrees people relation aspects object division case matter decree decreeing act i law i object laws i law considers masse actions abstract person action law privileges cannot anybody name classes citizens qualifications membership classes persons belonging government succession king family word function object belongs power view business laws acts prince law member state law one laws registers wills law universality universality object man whoever commands motion cannot law commands regard matter nearer law act sovereignty magistracy i name republic state laws matter form administration case interest govern res rank reality government government laws conditions association people laws author conditions society agreement inspiration body organ foresight acts advance hour need multitude enterprise system legislation people means right judgment objects road search influences wills times spaces series attractions advantages danger evils individuals need guidance wills conformity reason latter enlightenment union body parts whole power legislator i understand word aristocracy democracy government general law government sovereign minister case monarchy clearer book,216
1,16,legislator order rules society nations intelligence passions men intelligence nature happiness ours march time glory working century gods men laws facts dialogue politicus man basis princes legislators pattern latter legislator engineer machine prince mechanic birth societies rulers republics institutions afterwards institutions rulers making peoples institutions nature individual whole part whole manner life mans constitution purpose existence existence nature word man resources ones incapable use help men resources institutions citizen nothing nothing rest resources whole aggregate resources individuals legislation point perfection legislator occupies respect position state reason genius reason office magistracy sovereignty office republic constitution function nothing empire command men command laws command laws men laws ministers passions injustices aims sanctity work lycurgus laws country throne custom towns establishment laws foreigners republics italy cases example geneva revival crimes tyranny verge destruction authority power hands decemvirs right law authority nothing people law consent romans authors laws laws right legislation people right compact individuals assurance conformity vote people i task legislation things enterprise powers execution authority authority difficulty attention wise men language herd cannot kinds ideas language conceptions range individual taste plan government suits interest advantages privations laws people principles theory rules statecraft effect cause spirit institutions foundation men law means law legislator force reason recourse authority order capable violence ages fathers nations recourse intervention credit gods wisdom order peoples laws state nature power formation city man docility yoke happiness reason range herd decisions legislator mouth immortals order authority prudence anybody gods interpreter soul legislator miracle mission man tablets stone oracle feign intercourse divinity bird ear ways people knowledge round band fools empire extravagances tricks passing tie wisdom judaic law child ishmael ten centuries world men pride philosophy spirit faction sees theorist admires institutions genius things conclude politics religion object periods nations one instrument people legislation system lycurgus spartans rest greece notice greatness decadence romans i extent genius codification wise edicts part institute revolution time religion spirit patriotism liberty memory man truth macchiavelli country legislator recourse laws fact truths wise man knowledge reasons others discourses livy bk v ch rousseau,300
1,17,people architect surveys site weight wise legislator laws fitness people plato arcadians cyrenæans peoples equality laws men crete minos discipline people vice thousand nations greatness laws period history peoples men youth customs prejudices reformation people patients sight doctor hands faults times history states kinds turn mens heads periods violence revolutions crises individuals horror place forgetfulness state fire wars ashes anew jaws death vigour youth sparta time rome tarquins times expulsion tyrants events cause constitution state people civic impulse vigour revolutions master liberator peoples liberty youth nations men period youth maturity laws maturity people work people centuries russia peter genius imitation genius nothing things place people civilisation wish germans englishmen russians subjects fashion teacher pupil prodigy rest life nothing empire russia europe tartars subjects neighbours masters ours revolution kings europe concert,102
1,18,people nature bounds stature wellmade man limits nothing giants constitution state limits government selfmaintenance body strength exceed size extension tie relaxation state proportion arguments favour principle distances administration weight end administration burdensome distance place city people district people province governments satrapies viceroyalties expense people administration rest overcharges drain subjects orders authority meantime scarce remain resources emergencies recourse state eve destruction government vigour promptitude observance laws nuisances abuses undertakings places people affection rulers country eyes world fellowcitizens laws suit provinces customs climates government laws trouble confusion peoples rulers communication intermingle intermarry sway customs very talent vice multitude men place seat administration leaders business nothing state clerks measures authority officials energy public none left happiness people need arises body constitution way weight state foundation stability shocks help experiencing efforts maintenance peoples kind force neighbours vortices descartes run risk state equilibrium pressure sides reasons expansion reasons contraction part statesmans mean preservation state reason expansion reasons contraction constitution thing vigour government resources territory furnishes states necessity conquests constitution order fortunate necessity limits greatness moment fall,137
1,19,people body wayseither extent territory number people measurements relation state men state territory men relation therefore land maintenance inhabitants inhabitants land proportion strength number people land produces rise wars defence state neighbours rise wars offence people situation choice commerce war neighbours circumstances existence conquers others situation nothing insignificance greatness relation extent territory population differences quality land fertility nature products influence climate tempers country others soil fecundity women conditions country growth population influence legislator institutions account legislator therefore state population cases circumstances demand acquisition territory expansion country products woods pastures experience women plains expanse slope affords level tract vegetation hand contraction coast lands rocks sands extent lack landproduce inhabitants order pirates country inhabitants means colonies conditions place rest useless enjoyment peace plenty moment state house order moment battalion body resistance resistance time disorganisation moment fermentation position danger war famine sedition arises time crisis state governments storms cases governments states destroyers usurpers times cover terror destructive laws people blood moment chosen means work legislator people subject legislation unity interest convention yoke law one customs superstitions fear invasion neighbours quarrels help member need man man peoples others consistency people docility legislation success impossibility simplicity requirements conditions states constitutions country lawscorsica valour persistency people liberty well wise man i feeling day island europe peoples wise nation case haste dependence republic thlascala empire salt mexicans gift thlascalans snare liberality freedom state empire instrument ruin,188
1,20,systems legislation good end system legislation objects liberty equalityliberty dependence force body state equality liberty cannot i liberty equality degrees power riches everybody power violence virtue rank law respect riches citizen none part moderation goods position side sort moderation avarice covetousness equality ideal abuse regulations force circumstances tends equality force legislation maintenance objects legislative system country accordance situation temper inhabitants circumstances case system institutions state instance soil land inhabitants people industry crafts exchange commodities hand people dwells plains slopes land inhabitants attention men crafts depopulation inhabitants nation coastline let sea ships foster commerce navigation life coasts sea nothing rocks quieter life word principles nation something application legislation jews arabs object religion athenians letters carthage tyre commerce rhodes war virtue author spirit laws examples legislator constitution objects constitution state observance relations agreement laws point law accompany legislator object principle circumstances principle servitude liberty riches populousness peace conquestthe laws influence constitution state rest trouble till nature sway object state consistency extremes men beggars estates good friends tyranny tyrants liberty buys branch commerce m dargenson advantage kingdom individuals towns nation gains nothing people,146
1,21,division laws whole order commonwealth shape relations action body relation whole whole sovereign state relation relations terms laws relation name laws laws reason state system people possession order laws men besides case people position laws right relation members body whole relation respect citizen rest time city strength state liberty members relation laws kind relation individual law relation disobedience penalty rise laws bottom class law sanction rest kinds law tablets marble brass hearts citizens constitution state day powers laws place people ways replaces authority force habit i speaking morality custom opinion power thinkers none success everything legislator concerns regulations arc arch manners morals form end keystone classes laws form government book iii speaking forms government sense word,108
1,22,government i reader chapter reading action concurrence causes i act i power i object i place feet wills man body powers name power force power concurrence nothing power belongs people hand principles executive power cannot belong generality legislature sovereign acts competency law sovereign acts laws force therefore agent direction means communication state sovereign person union soul body man state basis government sovereign minister government body subjects sovereign correspondence execution laws maintenance liberty members body magistrates kings governors body name prince act people prince contract commission employment rulers officials exercise name power depositaries power pleasure alienation right nature body end association i call government administration exercise executive power prince man body administration government forces relations whole sovereign state relation terms proportion government government sovereign orders people state everything equality product power government product power citizens hand sovereign furthermore none terms equality sovereign magistrate laws subjects disorder place regularity force state despotism proportional relation government state events relations people governments peoples people times idea relations extreme terms example number people state citizens sovereign body member subject sovereign subject i member state share part authority control people numbers condition subject change authority laws vote part times influence subject unit relation sovereign number citizens state liberty i relation sense relation sense word sense relation quantity quotient latter identity similarity relation wills morals manners laws force government people hand growth state depositaries authority temptations chances power force government people hand force disposal sovereign government hand i force force parts state relation proportion sovereign prince people means idea consequence nature body terms people unity duplicate ratio increases ratio unique form government governments nature states size system order proportional form body government root number people i number instance relations number men amount action combination multitude causes words moment terms geometry i none quantities accuracy government scale body person faculties sovereign passive state capable relations rise proportion arrangement magistracies term ruler magistrate midst progression unity series multiplication terms content government body state distinct people sovereign intermediate bodies difference state exists government prince nothing law force force hands absolute act authority tie prince sovereign force hands obedience sovereigns rightful union body order government existence life body state order members concert end personality sensibility members force making preservation existence implies councils power deliberation decision rights titles privileges prince office magistrate proportion difficulties manner whole whole way constitution affirmation force preservation public force preservation state word government people people government body government work body life promptitude health end manner constitution differences relations government body state accidental relations state government relations defects body venice college absence doge prince,418
1,23,principle forms government cause differences government principle state body magistrate number members relation sovereign subjects proportion people analogy relation government magistrates force government state force members people magistrates government principle person magistrate wills individual advantage magistrates advantage prince relation government relation state government forms part place people sovereign relation state whole government part act legislation individual government position sovereign guide rest order hand wills proportion individual government member magistrate citizen order reverse system government hands man latter degree intensity use force depends degree force government government man hand government authority sovereign prince citizens magistrates activity government absolute force point force activity relations considerations instance magistrate body citizen particular influence acts government sovereign magistrate function citizen function sovereignty state force increases proportion growth state number magistrates extent government force force state dimension force activity government absolute force cannot increase certainty execution diminishes people charge prudence opportunity slip deliberation results loss i government proportion number magistrates increases i people force relation magistrates government relation subjects sovereign state government number rulers proportion increase people i strength government rectitude hand magistracy nearer magistrate i side art legislator point force government proportion meet relation advantage state,184
1,24,division governments chapter kinds forms government number members division place sovereign charge government people majority people citizens magistrates individuals form government democracy government number citizens magistrates aristocracy government hands magistrate others power form monarchy government forms admit degree differences democracy people aristocracy turn people number royalty measure distribution sparta kings constitution roman empire emperors empire point form government passes denominations government forms state citizens government aspects parts fashion combination forms multitude forms admits multiplication forms times dispute form government consideration fact cases others number magistrates ratio number citizens government suits states government size monarchy ones rule principle circumstances exceptions,101
1,25,democracy law constitution executive powers fact government respects things prince sovereign person form government government laws body people attention standpoint objects nothing influence interests affairs abuse laws government corruption legislator sequel standpoint case state substance reformation people powers independence people term sense democracy order people time affairs commissions purpose form administration fact i principle functions government tribunals sooner authority position affairs power hands conditions government presuppose state people citizen rest simplicity manners business problems measure equality rank fortune equality rights authority subsist luxury riches possession covetousness country vanity state citizens opinion writer principle republics conditions virtue want distinctions thinker obscure authority principle state form government government wars agitations government none tendency form vigilance courage maintenance constitution citizen strength constancy day life count palatine diet poland malo periculosam libertatem quietum servitium people gods government government men palatine posen father king poland duke i liberty danger peace slavery,131
1,26,aristocracy persons government sovereign consequence wills relation citizens members administration government policy people name sovereign people fact societies heads families counsel affairs question authority experience hence names priests elders savages govern way government proportion inequality institutions inequality riches power age aristocracy transmission fathers power goods children families government senators twenty sorts peoples governments advantage distinction powers members government citizens magistrates magistracy election experience claims guarantees government moreover assemblies affairs order diligence credit state senators multitude word arrangement profit need instruments men men interest power regulation propensity laws part executive power state people execution laws public democracy nation rulers order department beginning end masters aristocracy virtues government others instance moderation side contentment equality place form government inequality fortune order rule administration affairs time maintains order importance choice people deserts men claims riches word ancients importance form election magistrates law discretion prince aristocracy republics venice state wisdom senate exception,138
1,27,monarchy prince person force laws depositary state executive power power hands person man right accordance laws person monarch contrast forms administration collective stands individual form stands unity prince time unity qualities case difficulty law people prince force state force government power springs machine moves end movements kind constitution amount effort amount action archimedes bank vessel afloat mind monarch states study everything government none particular rules rest everything moves end end means happiness force administration state kings desire men afar means people precept respects court power peoples love doubt princes content kings desire position mastery sermonisers hearts content peoples strength interest people interest people subjects submission princes interest order power neighbours interest strength submission princes preference principle advantage samuel hebrews macchiavelli kings people prince book republicans grounds monarchy states administration relation prince subjects nearer democracy ratio equality government numbers ratio increases maximum government hands person distance prince people state bond union bond orders princes personages nobility things state class differences ruin state man kings others defect government voice positions men honour monarchies blunderers swindlers intriguers talents positions court ineptitude people choice prince man worth kings ministers fool head government chance governors helm state monarchy swarms administrators nothing amazement resources marks era countrys history state chance population extent proportionate abilities governor world finger shoulders hercules state prince hand state ruler cases ruler designs interests people talents ruler capacity want kingdom expand contract reign princes capabilities abilities senate quantity state frontiers administration disadvantage government want succession forms bond union king elections intervals storms citizens degree kind government intrigue corruption abound state turn expense money administration venality spreads part peace king disorders interregnum evils crowns families order succession disputes death kings disadvantages regency place election tranquillity administration men children monstrosities imbeciles rulers disputes choice kings account risks possibility chances sense dionysius father deed set example son father everything conspires man authority others sense justice reason trouble princes art education art kings praises history tells reigning science idem ac brevissimus bonarum malarumque rerum delectus cogitare quid aut sub alio principe aut result lack coherence inconstancy government scheme character prince object policyand variability forms government prince state principle project court intrigue wisdom senate republics advance towards ends policies revolution ministry revolution state principle ministers kings respect reverse predecessors incoherence sophism writers government government prince father familythis error prince virtues supposition government others conformity king nature rarity conspire crown education corrupts series men selfdeception government government king government princes throne incompetent throne difficulties writers remedy murmur god kings wrath scourges talk place pulpit book doctor miracles art sufferer ourselves government question macchiavelli man citizen court medici love liberty midst countrys oppression choice hero cæsar shows aim contradiction teaching prince discourses livy history florence shows thinker readers court rome book i court portrays tacitus histories way politicus,368
1,28,governments thing government ruler subordinate magistrates government head distribution executive power gradation number difference number distribution constituent parts dependence government england authority section poland form unity government state bond union government writers question question forms government government executive power power i prince sovereign people prince lack proportion division government parts authority subjects division disadvantage appointment magistrates government effect powers rights government disadvantages government tribunals democracies case government maxima strength weakness governments forms strength,74
1,29,forms government countries fruit climates reach peoples principle montesquieu truth chance proofs governments person consumes whence labour members necessities public superfluities individuals state mens return needs amount excess countries others others relation product depends fertility climate sort labour land nature products strength inhabitants consumption considerations whole relation side governments nature others differences principle source contributions charge amount impositions path order circulation people people state people people beggars distance people government tribute democracy people charge aristocracy charge monarchy weight monarchy therefore suits nations states size wealth democracy states fact difference states everything advantage forces individuals increases grows subjects despotism order climate form government sort inhabitants lands product labour savages lands mens brings peoples places polity lands surplus product labour peoples soil product labour call government order surplus superfluities subjects luxury prince government individuals i exceptions exceptions rule sooner revolutions things order laws causes effects south republics states point climate despotism countries barbarism countries polity regions principle disputes application countries countries difficulty question aspects i strength consumption account tracts extent inhabitants surplus product ratio surpluses products tract surplus tract question product one fertility countries rule equality ones equality england level south africa indies nothing equality product difference tillage ground england men hands product superfluity consider number men countries climate sobriety sake health europeans home perish dysentery indigestion animals wolves comparison asiatics sobriety persians fact country belief country commodities inhabitants frugality effect nakedness land everybody provinces lands fertility sobriety kingdom manner life hue christians fact persians skins hue subjects armenians fashion blotchy bodies nearer equator people meat rice maize curcur millet cassava food indies millions men subsistence halfpenny day europe differences appetite peoples spaniard week germans dinner countries men luxury therefore direction consumption luxury table italy sugar flowers luxury clothes shows differences climates changes season men simpler clothes adornment thought clothes luxury naples pausilippeum men garments nothing buildings magnificence consideration nothing air paris london madrid salons window bed hole countries foods succulent difference cannot influence vegetables italy taste france water nothing ground cost pains fact wheat barbary respects france yields wheat france turn yields countries gradation direction equator disadvantage product points countries inhabitants countries surplus advantage despotism territory number inhabitants revolt becomes action government projects communications people less government place peoples leaders houses prince council crowd gathers squares princes quarters advantage government therefore distances help rallyingpoints strength lever distance strength people hand acts spread powder ground fire grain grain countries fierce animals deserts i book ii ch ix disadvantages states authority government members force subjects members rallyingpoints action people distance rallyingpoint action members length lever weakness case strength,329
1,30,marks government question government indeterminate answers combinations absolute situations nations sign people matter question fact admits answer everyone way subjects tranquillity citizens class prefers security possessions person one government maintains mildest crimes state neighbours prefers money demands people agreement points qualities agreement mark agreement valuation part i mark men faith end association preservation prosperity members mark preservation prosperity numbers population seek mark dispute rest government aids naturalisation citizens increase question government people wanes diminishes calculators principle preference prosperity letters arts object culture effects account idque apud imperitos humanitas pars fools humanity part slavery tacitus agricola maxims books vulgar interest writers renown country poet income francs age attention repose tranquillity rulers wellbeing nations wholes states hailstorm cantons waste outbreaks wars rulers shocks ills peoples respite dispute prosperity calamities condition whole yoke sets rulers solitudinem faciunt pacem appellant peace tacitus agricola bickerings kingdom france coadjutor paris dagger pocket parliament things people france dignity ease freedom greece midst wars blood ran torrents country inhabitants macchiavelli midst murder proscription war republic virtue morality independence citizens dissensions disturbance soul elasticity race peace liberty,124
1,31,abuse government tendency particular opposition government sovereignty exertion constitution changes case equilibrium prince sooner prince sovereign treaty defect birth body age death end body courses government contraction state government undergoes contraction democracy aristocracy aristocracy propensity course sequence governments form energy government sphere stringency force spring hold way state dissolution state ways prince state accordance laws power change government state contraction i state members government rest people moment government sovereignty compact citizens liberty thing members government power body infraction laws results disorders princes magistrates state government perishes form state abuse government name democracy ochlocracy aristocracy i royalty tyranny word explanation vulgar usage tyrant king regard justice law sense tyrant individual authority right greeks word tyrant princes authority tyrant terms order i things names authority tyrant power despot tyrant contrary laws accordance laws despot laws tyrant cannot despot despot formation progress republic venice lagoons instance sequence years venetians stage serrar di consiglio dukes squittinio della libertà veneta sense case view roman republic course monarchy aristocracy aristocracy democracy i means view government despotism causes state death children manhood expulsion tarquins period birth form patriciate work undone aristocracy forms administration conflict democracy form government macchiavelli establishment tribunate government democracy fact people sovereign magistrate judge senate tribunal government consuls patricians magistrates generals war presidents people point government tendency patriciate aristocracy body patricians venice genoa body senate patricians plebeians body tribunes function names facts people rulers name government aristocracy abuse aristocracy wars triumvirate sulla julius cæsar augustus fact monarchs despotism tiberius state roman history principle i habentur dicuntur tyranni qui potestate perpetua civitate quæ cornelius life miltiades tyrants power state ethics book chapter x tyrant king fact governs interest good subjects authors use word tyrant sense xenophons hiero aristotles beginning world king,242
